CL,CHLORIDE ION
ZN,ZINC ION
MN,MANGANESE (II) ION
CA,CALCIUM ION
MG,MAGNESIUM ION
UNX,UNKNOWN ATOM OR ION
IOD,IODIDE ION
NA,SODIUM ION
NI,NICKEL (II) ION
BO4,BORATE ION
XCT,4-AMINO-1-(2 3-DIDEOXY-6-O-PHOSPHONO-BETA-D-ERYTHRO-HEXOPYRANOSYL)PYRIMIDIN-2(1H)-ONE
FES,FE2/S2 (INORGANIC) CLUSTER
EPE,4-(2-HYDROXYETHYL)-1-PIPERAZINE ETHANESULFONIC ACID
CO3,CARBONATE ION
GF2,2'-deoxy-2'-fluoroguanosine 5'-(dihydrogen phosphate)
PI,HYDROGENPHOSPHATE ION
SIN,SUCCINIC ACID
7QM,(1R 2S 3S 4R 6S)-4 6-diamino-3-{[3-deoxy-3-(methylamino)-alpha-D-glucopyranosyl]oxy}-2-hydroxycyclohexyl 2 6-diamino-2 6-dideoxy-alpha-D-glucopyranoside
BTN,BIOTIN
PDP,PYRIDOXAL-5'-DIPHOSPHATE
U10,UBIQUINONE-10
BCT,BICARBONATE ION
FLC,CITRATE ANION
PER,PEROXIDE ION
OXL,OXALATE ION
PQQ,PYRROLOQUINOLINE QUINONE
UQ2,UBIQUINONE-2
MOO,MOLYBDATE ION
EOH,ETHANOL
LCP,PERCHLORATE ION
LCO,CHLORATE ION
WO4,TUNGSTATE(VI)ION
ACY,ACETIC ACID
PO4,PHOSPHATE ION
COA,COENZYME A
CIT,CITRIC ACID
MQ8,MENAQUINONE 8
ZBU,(S)-1'-(2' 3'-DIHYDROXYPROPYL)-5-BROMO-URACIL
GSH,GLUTATHIONE
DHE,HEME D
ARS,ARSENIC
MLT,D-MALATE
FUM,FUMARIC ACID
NAH,NICOTINAMIDE-ADENINE-DINUCLEOTIDE
FMN,FLAVIN MONONUCLEOTIDE
LCC,[(1R 3R 4R 7S)-7-HYDROXY-3-(5-METHYLCYTOSIN-1-YL)-2 5-DIOXABICYCLO[2.2.1]HEPT-1-YL]METHYL DIHYDROGEN PHOSPHATE
NDP,NADPH DIHYDRO-NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE
MQ9,MENAQUINONE-9
FAD,FLAVIN-ADENINE DINUCLEOTIDE
PEG,DI(HYDROXYETHYL)ETHER
XAD,9-(2 3-DIDEOXY-6-O-PHOSPHONO-BETA-D-ERYTHRO-HEXOPYRANOSYL)-9H-PURIN-6-AMINE
GTT,GLUTATHIONE
UQ8,Ubiquinone-8
AF2,2'-deoxy-2'-fluoroadenosine 5'-(dihydrogen phosphate)
FS1,IRON/SULFUR CLUSTER
EDO,1 2-ETHANEDIOL
SEO,BETA-MERCAPTOETHANOL
UQ1,UBIQUINONE-10
NH2,AMINO GROUP
LPA,LIPOIC ACID
AZI,AZIDE ION
PEP,PHOSPHOENOLPYRUVATE
BME,BETA-MERCAPTOETHANOL
TPQ,5-(2-CARBOXY-2-AMINOETHYL)-2-HYDROXY-1 4-BENZOQUINONE
0C,L-CYTIDINE-5'-MONOPHOSPHATE
HEB,HEME B/C
A44,2'-O-METHYOXYETHYL-ADENOSINE 5'-MONOPHOSPHATE
SO4,SULFATE ION
CYN,CYANIDE ION
ZGU,(S)-1'-(2' 3'-DIHYDROXYPROPYL)-GUANINE
ZTH,(S)-1'-(2' 3'-DIHYDROXYPROPYL)-THYMINE
NO2,NITRITE ION
LCG,[(1R 3R 4R 7S)-7-HYDROXY-3-(GUANIN-9-YL)-2 5-DIOXABICYCLO[2.2.1]HEPT-1-YL]METHYL DIHYDROGEN PHOSPHATE
NAP,NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE
HEO,HEME O
XE,XENON
GHA,1'-((1 4-DIDEOXY-1 4-IMINO-D-ARABINITOL)-4-N-AMMONIUM)-1'-DEOXY-L-ERYTHRITOL-3'-SULFATE INNER SALT
ACE,ACETYL GROUP
HEM,PROTOPORPHYRIN IX CONTAINING FE
ZBC,(2S)-3-(4-AMINO-5-BROMO-2-OXOPYRIMIDIN-1(2H)-YL)-2-HYDROXYPROPYL DIHYDROGEN PHOSPHATE
PPR,PHOSPHONOPYRUVATE
C43,2'-O-METHYOXYETHYL-CYTIDINE-5'-MONOPHOSPHATE
6HC,1' 5'-ANHYDRO-2' 3'-DIDEOXY-2'-(CYTOSIN-1-YL)-6'-O-PHOSPHORYL-D-ARABINO-HEXITOL
GTP,GUANOSINE-5'-TRIPHOSPHATE
YT3,YTTRIUM (III) ION
GOL,GLYCEROL
GMP,GUANOSINE
FS3,FE3-S4 CLUSTER
HOH,WATER
2HP,DIHYDROGENPHOSPHATE ION
HEA,HEME-A
0U,L-URIDINE-5'-MONOPHOSPHATE
6HA,1' 5'-ANHYDRO-2' 3'-DIDEOXY-2'-(ADENIN-9-YL)-6'-O-PHOSPHORYL-D-ARABINO-HEXITOL
AUC,GOLD (I) CYANIDE ION
NAG,2-acetamido-2-deoxy-beta-D-glucopyranose
H2S,HYDROSULFURIC ACID
ADP,ADENOSINE-5'-DIPHOSPHATE
SRM,SIROHEME
6HT,1' 5'-ANHYDRO-2' 3'-DIDEOXY-2'-(THYMIN-1-YL)-6'-O-PHOSPHORYL-D-ARABINO-HEXITOL
BPV,Bromopyruvate
TLN,[(1R 3R 4R 7S)-7-HYDROXY-3-(THYMIN-1-YL)-2 5-DIOXABICYCLO[2.2.1]HEPT-1-YL]METHYL DIHYDROGEN PHOSPHATE
B12,COBALAMIN
ACT,ACETATE ION
SF4,IRON/SULFUR CLUSTER
THF,5-HYDROXYMETHYLENE-6-HYDROFOLIC ACID
UQ7,UBIQUINONE-7
MLI,MALONATE ION
SMM,S-ADENOSYLMETHIONINE METHYL ESTER
FS4,IRON/SULFUR CLUSTER
NO3,NITRATE ION
ATP,ADENOSINE-5'-TRIPHOSPHATE
DMS,DIMETHYL SULFOXIDE
MQ7,MENAQUINONE-7
GAI,GUANIDINE
DPM,DIPYRROMETHANE COFACTOR
BF4,BERYLLIUM TETRAFLUORIDE ION
XGU,2' 3'-DI-DEOXY-BETA-D-GLUCOPYRANOSYL GUANINE
